,收盘,signal
2012-09-24,690.34,-1.0
2012-09-25,682.34,-1.0
2012-09-26,661.49,-1.0
2012-09-27,676.96,-1.0
2012-09-28,689.64,1.0
2012-10-08,690.77,1.0
2012-10-09,712.7,1.0
2012-10-10,721.85,1.0
2012-10-11,711.8,1.0
2012-10-12,708.87,1.0
2012-10-15,701.96,-1.0
2012-10-16,705.39,-1.0
2012-10-17,709.09,-1.0
2012-10-18,720.52,1.0
2012-10-19,719.45,1.0
2012-10-22,724.28,1.0
2012-10-23,711.26,1.0
2012-10-24,707.75,1.0
2012-10-25,697.44,1.0
2012-10-26,685.33,1.0
2012-10-29,688.12,1.0
2012-10-30,689.61,1.0
2012-10-31,691.65,1.0
2012-11-01,701.78,1.0
2012-11-02,701.38,1.0
2012-11-05,692.87,1.0
2012-11-06,690.5,-1.0
2012-11-07,689.75,-1.0
2012-11-08,675.85,-1.0
2012-11-09,672.67,1.0
2012-11-12,676.6,1.0
2012-11-13,667.33,1.0
2012-11-14,665.19,1.0
2012-11-15,659.21,1.0
2012-11-16,656.2,1.0
2012-11-19,656.94,-1.0
2012-11-20,656.61,-1.0
2012-11-21,660.03,-1.0
2012-11-22,651.83,1.0
2012-11-23,651.43,1.0
2012-11-26,638.88,1.0
2012-11-27,616.28,1.0
2012-11-28,607.67,1.0
2012-11-29,603.17,1.0
2012-11-30,606.77,1.0
2012-12-03,593.66,1.0
2012-12-04,600.8,1.0
2012-12-05,624.82,1.0
2012-12-06,624.32,1.0
2012-12-07,637.49,1.0
2012-12-10,646.32,1.0
2012-12-11,641.17,1.0
2012-12-12,639.51,1.0
2012-12-13,632.18,1.0
2012-12-14,656.22,1.0
2012-12-17,649.61,1.0
2012-12-18,646.05,1.0
2012-12-19,652.1,1.0
2012-12-20,658.31,-1.0
2012-12-21,668.09,-1.0
2012-12-24,679.76,-1.0
2012-12-25,694.12,1.0
2012-12-26,709.08,1.0
2012-12-27,699.57,1.0
2012-12-28,707.67,1.0
2012-12-31,713.86,1.0
2013-01-04,705.34,1.0
2013-01-07,718.11,1.0
2013-01-08,733.14,1.0
2013-01-09,734.51,1.0
2013-01-10,741.18,1.0
2013-01-11,731.59,1.0
2013-01-14,760.55,1.0
2013-01-15,778.6,1.0
2013-01-16,774.49,1.0
2013-01-17,768.31,1.0
2013-01-18,787.39,1.0
2013-01-21,792.6,1.0
2013-01-22,775.14,1.0
2013-01-23,778.48,1.0
2013-01-24,757.87,1.0
2013-01-25,762.85,1.0
2013-01-28,784.76,1.0
2013-01-29,791.67,1.0
2013-01-30,783.68,1.0
2013-01-31,776.01,1.0
2013-02-01,782.36,1.0
2013-02-04,771.9,1.0
2013-02-05,780.98,1.0
2013-02-06,791.26,-1.0
2013-02-07,805.59,-1.0
2013-02-08,823.03,1.0
2013-02-18,835.28,1.0
2013-02-19,819.71,1.0
2013-02-20,850.86,1.0
2013-02-21,839.3,1.0
2013-02-22,838.76,1.0
2013-02-25,855.69,-1.0
2013-02-26,851.22,-1.0
2013-02-27,846.09,-1.0
2013-02-28,861.1,-1.0
2013-03-01,884.89,1.0
2013-03-04,863.5,1.0
2013-03-05,888.1,-1.0
2013-03-06,902.9,1.0
2013-03-07,877.34,1.0
2013-03-08,864.7,1.0
2013-03-11,869.15,1.0
2013-03-12,839.84,1.0
2013-03-13,834.05,-1.0
2013-03-14,842.04,-1.0
2013-03-15,853.91,-1.0
2013-03-18,852.12,-1.0
2013-03-19,842.69,-1.0
2013-03-20,866.27,-1.0
2013-03-21,882.73,-1.0
2013-03-22,882.0,-1.0
2013-03-25,881.76,-1.0
2013-03-26,876.36,-1.0
2013-03-27,882.75,-1.0
2013-03-28,867.51,-1.0
2013-03-29,866.46,-1.0
2013-04-01,877.0,-1.0
2013-04-02,845.16,-1.0
2013-04-03,835.14,-1.0
2013-04-08,853.48,1.0
2013-04-09,861.99,-1.0
2013-04-10,850.53,-1.0
2013-04-11,847.78,-1.0
2013-04-12,846.61,-1.0
2013-04-15,836.34,-1.0
2013-04-16,846.05,-1.0
2013-04-17,867.51,-1.0
2013-04-18,873.48,-1.0
2013-04-19,892.21,-1.0
2013-04-22,916.02,-1.0
2013-04-23,893.79,-1.0
2013-04-24,923.41,-1.0
2013-04-25,903.63,1.0
2013-04-26,889.38,1.0
2013-05-02,913.65,1.0
2013-05-03,939.21,1.0
2013-05-06,958.02,1.0
2013-05-07,957.44,1.0
2013-05-08,980.08,1.0
2013-05-09,992.16,1.0
2013-05-10,988.3,1.0
2013-05-13,995.11,1.0
2013-05-14,976.33,1.0
2013-05-15,1012.66,-1.0
2013-05-16,1009.53,-1.0
2013-05-17,1023.4,-1.0
2013-05-20,1051.65,-1.0
2013-05-21,1073.58,-1.0
2013-05-22,1039.81,-1.0
2013-05-23,1042.9,-1.0
2013-05-24,1073.78,-1.0
2013-05-27,1089.72,-1.0
2013-05-28,1059.0,-1.0
2013-05-29,1065.96,-1.0
2013-05-30,1073.87,-1.0
